"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2012-01-01T04:51:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","140,5,N,0021,5","22000,5,9,N","004828,5,N,5","+0120,5","+0100,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5",,,,,,"10,1",,,,,,,,,,,"MET08012/31/11 20:51:03 SPECI KLAX 010451Z 14004KT 3SM BR CLR 12/10 A3007 RMK AO2 (CF)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2012-01-01T04:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","140,5,N,0026,5","22000,5,9,N","004828,5,N,5","+0117,5","+0100,5","10182,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5",,,,,,"10,1",,,,,,,,,,,"MET09712/31/11 20:53:03 METAR KLAX 010453Z 14005KT 3SM BR CLR 12/10 A3007 RMK AO2 SLP182 T01170100 (CF)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2012-01-01T05:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","004828,5,N,5","+0117,5","+0100,5","10187,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0128,1","999,N,+0106,1",,,,,,,,,,,"10190,5,10071,5","3,9,009,9,+999,9",,,,,"10,1",,,,,,,,,,,"MET11512/31/11 21:53:03 METAR KLAX 010553Z 00000KT 3SM BR CLR 12/10 A3009 RMK AO2 SLP187 T01170100 10128 20106 53009 (CF)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2012-01-01T06:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","999,9,C,0000,1","22000,1,9,N","004800,1,N,1","+0117,1","+0100,1","10187,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,1,+99999,9,99,9",,,,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1","240,M,+0167,1","240,N,+0067,1",,,,,,,,,,,"99999,9,99999,9","3,1,009,1,+999,9",,,,,"10,1",,,,,,,,,,,"SYN098AAXX  01064 72295 31948 00000 10117 20100 30134 40187 53009 710// 90553 333 10167 20067 555 90106;","Q01 101343APOSP "
"72295023174","2012-01-01T06:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","004828,5,N,5","+0117,5","+0094,5","10190,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"02,5,+00030,5,99,9",,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"10,1",,,,,,,,,,,"MET10012/31/11 22:53:03 METAR KLAX 010653Z 00000KT 3SM BR FEW001 12/09 A3010 RMK AO2 SLP190 T01170094 (CF)",
"72295023174","2012-01-01T07:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","004828,5,N,5","+0111,5","+0089,5","10189,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"02,5,+00030,5,99,9",,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10190,5,10071,5",,,,,,"10,1",,,,,,,,,,,"MET11012/31/11 23:53:03 METAR KLAX 010753Z 00000KT 3SM BR FEW001 11/09 A3009 RMK AO2 SLP189 T01110089 401670067 (GG)",
"72295023174","2012-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOD  ","KLAX ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0000,9,5",,,,,,,,,,,,,,,,,,"AU,01,FG  ,5","AU,13,BR  ,5","AU,08,HZ  ,5",,,,,,,,,,,,,,,,,,,,"240,M,+0167,5","240,N,+0067,5",,,,,,,,,"024,W,+0100,D,4","024,D,+0089,D,4",,,"10051,4,10169,4","10052,4,10156,4",,,,,,,,"1,24,00671,300,9999,5","2,24,00536,300,9999,5","3,24,00152,999,9999,5","024,X,100,D,4","024,N,056,D,4","024,M,087,D,4","SOD75824 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):128  24 HR MAX TEMP (F): 6224 HR MIN TEMP (F): 44AVERAGE STATION PRESSURE:29.685 MINIMUM SEA LEVEL PRESSURE:29.99 TIME OF OCCURRENCE:1352 PEAK WIND SPEED (MPH): 15 PEAK WIND DIR (DEG):300 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 12FASTEST 2MIN DIR (DEG):300 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 3.4 24 HR AVG TEMP (F): 53DEPART FROM NORMAL: -3  HEATING DEGREE DAYS: 12 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):62  LATEST NIGHT MIN TEMP(1900-0800 LST):44 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00","R01   1287AXW090"
"72295023174","2012-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOM  ","KLAX ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"00170,9,U","00165,9,1212,9999,9999,5","02,U,01,U,01,U,00,U","005,0005,9,121430,5","010,0008,9,121435,5","015,0013,9,121123,A","020,0015,9,121123,5","030,0020,9,121135,5","045,0028,9,121135,5","060,0033,9,121200,5","080,0043,9,121210,5","100,0051,9,121220,5","120,0056,9,121220,5","150,0069,9,121200,5","180,0079,9,121210,5",,,,,,,,,,,,,,,,,,,,,,,,,"744,N,+0767,U","744,M,+1789,5","744,A,+1278,U","N,9,+0044,239999,U","M,9,+0227,289999,5","744,H,0329,6","744,C,0000,5","00,5,00,5,00,5,00,5",,,,,,,"10075,U,10193,U","10318,230950,U,10075,121553,U",,,,,,,,,,,,"SOM809PCP MTOT:0.68 DEPNRM:-0.5 PCP GT 24HRS:0.65 DATE(S):12 DAYS W/PCP >=.01:3  DAYS W/PCP >=.10:1  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.02  12/1430 MIN:10 0.03  12/1435 MIN:15 0.05  12/1123 MIN:20 0.06  12/1123 MIN:30 0.08  12/1135 MIN:45 0.11  12/1135 MIN:60 0.13  12/1200 MIN:80 0.17  12/1210 MIN:100 0.20  12/1220 MIN:120 0.22  12/1220 MIN:150 0.27  12/1200 MIN:180 0.31  12/1210 AVG DLY MIN:44.1  AVG DLY MAX:64.2  AVG MLY TMP:54.2  DEP NORM:-3.4  MIN TMP:34 DATE(S):06 MAX TMP:73  DATE(S):28 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.750 LWST SLP:29.74 DATE/TIME:121346 HGST SLP:30.47 DATE/TIME:230950 HDD MTH TOT:329 DEP NORM:+95 SEASON(JUL 1-JUN 30):582 DEP NORM:+203 CDD MTH TOT:0 DEP NORM:-4 SEASON(JAN 1-DEC 31):206 DEP NORM:-473","R01     37AE1100R02  0.057A03014R03  34 67KCN026R04   3297KDH045"
"72295023174","2012-01-01T08:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","250,5,N,0015,5","22000,5,9,N","004828,5,N,5","+0094,5","+0078,5","10190,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"02,5,+00030,5,99,9",,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5","1,9,002,9,+999,9",,,,,"10,1",,,,,,,,,,,"MET10601/01/12 00:53:02 METAR KLAX 010853Z 25003KT 3SM BR FEW001 09/08 A3010 RMK AO2 SLP190 T00940078 51002 (GG)",
"72295023174","2012-01-01T09:03:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","260,5,N,0021,5","22000,5,9,N","002816,5,N,5","+0090,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"25,R,1372,9","02,5,+00030,5,99,9",,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"10,1",,,,,,,,,,,"MET10501/01/12 01:03:02 SPECI KLAX 010903Z 26004KT 1 3/4SM R25R/4500VP6000FT BR FEW001 09/08 A3010 RMK AO2 (GG)",
"72295023174","2012-01-01T09:12:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","270,5,N,0021,5","22000,5,9,N","000402,5,N,5","+0080,5","+0070,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0427,9","02,5,+00030,5,99,9",,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"44,1",,,,,,,,,,,"MET10201/01/12 01:12:02 SPECI KLAX 010912Z 27004KT 1/4SM R25R/1400V4500FT FG FEW001 08/07 A3010 RMK AO2 (GG)",
"72295023174","2012-01-01T09:19:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","270,5,N,0026,5","22000,5,9,N","000402,5,N,5","+0090,5","+0070,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0366,9","02,5,+00030,5,99,9",,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"44,1",,,,,,,,,,,"MET10201/01/12 01:19:02 SPECI KLAX 010919Z 27005KT 1/4SM R25R/1200V2200FT FG FEW001 09/07 A3010 RMK AO2 (GG)",
"72295023174","2012-01-01T09:51:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","270,5,N,0036,5","00030,5,W,N","000402,5,N,5","+0090,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,,"09,5,+00030,5,99,9",,,"5,99,1,+00030,5,9",,,,,,,,,,,,,,,,,"10193,5,10074,5",,,,,,,,,,,,,,,,,"MET10601/01/12 01:51:02 SPECI KLAX 010951Z 27007KT 1/4SM R25R/0800V1200FT FG VV001 09/08 A3010 RMK AO2 FIBI (GG)",
"72295023174","2012-01-01T09:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","270,5,N,0031,5","00030,5,W,N","000402,5,N,5","+0089,5","+0083,5","10190,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0244,9","09,5,+00030,5,99,9",,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"45,1",,,,,,,,,,,"MET11801/01/12 01:53:02 METAR KLAX 010953Z 27006KT 1/4SM R25R/0800V2200FT FG VV001 09/08 A3010 RMK AO2 SLP190 T00890083 (GG)",
"72295023174","2012-01-01T10:09:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","00030,5,W,N","000402,5,N,5","+0090,5","+0090,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0244,9","09,5,+00030,5,99,9",,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"45,1",,,,,,,,,,,"MET10201/01/12 02:09:02 SPECI KLAX 011009Z 00000KT 1/4SM R25R/0800VP6000FT FG VV001 09/09 A3010 RMK AO2 (GG)",
"72295023174","2012-01-01T10:48:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","00030,5,W,N","001207,5,N,5","+0080,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"25,R,0792,9","09,5,+00030,5,99,9",,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"10,1",,,,,,,,,,,"MET10201/01/12 02:48:02 SPECI KLAX 011048Z 00000KT 3/4SM R25R/2600VP6000FT BR VV001 08/08 A3010 RMK AO2 (GG)",
"72295023174","2012-01-01T10:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","310,5,N,0015,5","00030,5,W,N","000805,5,N,5","+0083,5","+0078,5","10190,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0853,9","09,5,+00030,5,99,9",,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"45,1",,,,,,,,,,,"MET11901/01/12 02:53:02 METAR KLAX 011053Z 31003KT 1/2SM R25R/2800VP6000FT FG VV001 08/08 A3010 RMK AO2 SLP190 T00830078 (GG)",
"72295023174","2012-01-01T11:42:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","003219,5,N,5","+0090,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"04,5,+00030,5,99,9",,,"2,99,1,+00030,5,9",,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10190,5,10071,5",,,,,,"10,1",,,,,,,,,,,"MET08501/01/12 03:42:02 SPECI KLAX 011142Z 00000KT 2SM BR SCT001 09/08 A3009 RMK AO2 $ (GG)",
"72295023174","2012-01-01T11:49:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","008047,5,N,5","+0090,5","+0090,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"02,5,+00030,5,99,9",,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10190,5,10071,5",,,,,,"10,1",,,,,,,,,,,"MET08501/01/12 03:49:02 SPECI KLAX 011149Z 00000KT 5SM BR FEW001 09/09 A3009 RMK AO2 $ (GG)",
"72295023174","2012-01-01T11:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","008047,5,N,5","+0089,5","+0083,5","10189,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0117,1","999,N,+0083,1",,,,,,,,,,,"10190,5,10071,5","8,9,001,9,+999,9",,,,,"10,1",,,,,,,,,,,"MET11701/01/12 03:53:02 METAR KLAX 011153Z 00000KT 5SM BR CLR 09/08 A3009 RMK AO2 SLP189 T00890083 10117 20083 58001 $ (GG)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2012-01-01T12:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","999,9,C,0000,1","22000,1,9,N","008000,1,N,1","+0089,1","+0083,1","10189,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,1,+99999,9,99,9",,,,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1","120,N,+0083,1","240,M,+0167,1",,,,,,,,,,,"99999,9,99999,9","8,1,001,1,+999,9",,,,,"10,1",,,,,,,,,,,"SYN098AAXX  01124 72295 31958 00000 10089 20083 30134 40189 58001 710// 91153 333 10167 20083 555 90112;","Q01 101343APOSP "
"72295023174","2012-01-01T12:47:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","280,5,N,0015,5","22000,5,9,N","008047,5,N,5","+0080,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"25,R,1524,9","02,5,+00030,5,99,9",,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"10,1",,,,,,,,,,,"MET11301/01/12 04:47:02 SPECI KLAX 011247Z 28003KT 5SM R25R/5000VP6000FT BR FEW001 08/08 A3010 RMK AO2 FG BANK S $ (GG)",
