"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AW1","AW2","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MW1","MW2","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2008-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOD  ","KLAX ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0000,9,5",,,,,,,,,,,,,,,,,,"AU,21,MIFG,5","AU,13,BR  ,5","MW,01,FG  ,1",,,,,,"08,6,24,6","01,6,24,6",,,,,,,,,,,,"240,M,+0239,5","240,N,+0067,5",,,,,,,,,"024,W,+0089,D,4","024,D,+0000,D,4",,,"10081,4,10200,4","10081,4,10183,4",,,,,,,"1,24,00983,350,1354,5","2,24,00447,010,2357,5","3,24,00201,999,9999,5","024,X,089,D,4","024,N,015,D,4","024,M,041,D,4","SOD77324 HR PRECIPITATION (IN):0.00  WEATHER(CODE):8,1  24 HR MAX TEMP (F):75 24 HR MAX TEMP TIME (LST):1600 24 HR MIN TEMP (F):44 24 HR MIN TEMP TIME (LST):0621 AVERAGE STATION PRESSURE:29.770 MINIMUM SEA LEVEL PRESSURE:30.07 TIME OF OCCURRENCE:1446 PEAK WIND SPEED (MPH):22  PEAK WIND DIR (DEG):350 PEAK WIND TIME (LST):1354  FASTEST 2MIN SPEED (MPH):10 FASTEST 2MIN DIR (DEG):10  FASTEST 2MIN TIME (LST):2357 AVERAGE WIND SPEED (MPH):4.5  24 HR AVG TEMP (F):60 DEPART FROM NORMAL: +3  HEATING DEGREE DAYS:5   COOLING DEGREE DAYS:0   LATEST DAY MAX TEMP (0700-1900 LST):75  LATEST NIGHT MIN TEMP(1900-0800 LST):44 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00","R01   8,17AXW093R02   8,17AXW093R03     N7GJS072R04     N7GKS075"
"72295023174","2008-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOM  ","KLAX ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"00404,9,5","00257,9,1819,9999,9999,A","06,5,03,5,01,5,00,5","005,0010,9,070435,5","010,0013,9,182236,5","015,0015,9,182243,5","020,0020,9,182245,5","030,0025,9,182257,5","045,0036,9,070213,5","060,0046,9,070156,5","080,0058,9,070213,5","100,0066,9,070232,5","120,0069,9,070243,5","150,0074,9,181849,5","180,0079,9,181849,5",,,,,,,,,,,,,,,,,,,,,,,,"744,N,+0900,5","744,M,+1750,5","744,A,+1328,5","N,9,+0055,229999,5","M,9,+0244,049999,5","744,H,0282,6","744,C,0000,5","00,5,00,5,00,5,00,5",,,,,,,"10081,4,10200,4","10312,022142,U,10020,010050,U",,,,,,,,,,,"SOM811PCP MTOT:1.59 DEPNRM:+0.5 PCP GT 24HRS:1.01 DATE(S):18-19 DAYS W/PCP >=.01:6  DAYS W/PCP >=.10:3  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.04  07/0435 MIN:10 0.05  18/2236 MIN:15 0.06  18/2243 MIN:20 0.08  18/2245 MIN:30 0.10  18/2257 MIN:45 0.14  07/0213 MIN:60 0.18  07/0156 MIN:80 0.23  07/0213 MIN:100 0.26  07/0232 MIN:120 0.27  07/0243 MIN:150 0.29  18/1849 MIN:180 0.31  18/1849 AVG DLY MIN:48.2  AVG DLY MAX:63.5  AVG MLY TMP:55.9  DEP NORM:-1.7  MIN TMP:42 DATE(S):22 MAX TMP:76  DATE(S):04 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.770 LWST SLP:29.57 DATE/TIME:010007 HGST SLP:30.45 DATE/TIME:022142 HDD MTH TOT:282 DEP NORM:+48 SEASON(JUL 1-JUN 30):538 DEP NORM:+159 CDD MTH TOT:0 DEP NORM:-4 SEASON(JAN 1-DEC 31):661 DEP NORM:-18","R01  1.017ADP081R02   2827KDH045"
"72295023174","2008-01-01T08:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","360,5,N,0046,5","22000,5,9,N","016093,5,N,5","+0156,5","-0089,5","10223,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10227,5,10108,5","0,9,001,9,+999,9",,,,,,,,,,,,,,,"MET10201/01/08 00:51:52 METAR KLAX 010850Z 36009KT 10SM CLR 16/M09 A3020 RMK AO2 SLP223 T01561089 50001 (GG)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T09:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","030,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0150,5","-0094,5","10223,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10227,5,10108,5",,,,,,,,,,,,,,,,"MET09601/01/08 01:51:51 METAR KLAX 010950Z 03008KT 10SM CLR 15/M09 A3020 RMK AO2 SLP223 T01501094 (GG)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T10:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","020,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0144,5","-0100,5","10225,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10227,5,10108,5",,,,,,,,,,,,,,,,"MET09601/01/08 02:51:52 METAR KLAX 011050Z 02007KT 10SM CLR 14/M10 A3020 RMK AO2 SLP225 T01441100 (GG)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T11:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","010,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0139,5","-0106,5","10219,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0178,1","999,N,+0139,1",,,,,,,,,,,"10224,5,10104,5","8,9,003,9,+999,9",,,,,,,,,,,,,,,"MET11401/01/08 03:51:52 METAR KLAX 011150Z 01008KT 10SM CLR 14/M11 A3019 RMK AO2 SLP219 T01391106 10178 20139 58003 (GG)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T12:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","010,1,N,0041,1","22000,1,9,N","016000,1,N,1","+0139,1","-0106,1","10219,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,1,+99999,9,99,9",,,,,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1","120,N,+0139,1","240,M,+0239,1",,,,,,,,,,,"99999,9,99999,9","8,1,003,1,+999,9",,,,,,,,,,,,,,,"SYN092AAXX  01124 72295 32966 00108 10139 21106 30167 40219 58003 91150 333 10239 20139 555 90112;","Q01 101673APOSP "
"72295023174","2008-01-01T12:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","010,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0139,5","-0117,5","10220,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10224,5,10104,5",,,,,,,,,,,,,,,,"MET09601/01/08 04:51:51 METAR KLAX 011250Z 01007KT 10SM CLR 14/M12 A3019 RMK AO2 SLP220 T01391117 (GG)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T13:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","010,5,N,0046,5","22000,5,9,N","016093,5,N,5","+0133,5","-0117,5","10223,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10227,5,10108,5",,,,,,,,,,,,,,,,"MET09601/01/08 05:51:51 METAR KLAX 011350Z 01009KT 10SM CLR 13/M12 A3020 RMK AO2 SLP223 T01331117 (GG)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T14:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","010,5,N,0041,5","07620,5,M,N","016093,5,N,5","+0139,5","-0117,5","10225,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+07620,5,99,9",,,,"3,99,1,+07620,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10227,5,10108,5","3,9,005,9,+999,9",,,,,,,,,,,,,,,"MET10501/01/08 06:51:52 METAR KLAX 011450Z 01008KT 10SM BKN250 14/M12 A3020 RMK AO2 SLP225 T01391117 53005 (GG)",
"72295023174","2008-01-01T15:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","010,5,N,0046,5","07620,5,M,N","016093,5,N,5","+0139,5","-0111,5","10228,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+07620,5,99,9",,,,"3,99,1,+07620,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10230,5,10111,5",,,,,,,,,,,,,,,,"MET10001/01/08 07:51:51 METAR KLAX 011550Z 01009KT 10SM BKN250 14/M11 A3021 RMK AO2 SLP228 T01391111 (DMQ)",
"72295023174","2008-01-01T16:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","360,5,V,0036,5","07620,5,M,N","016093,5,N,5","+0156,5","-0117,5","10233,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+07620,5,99,9",,,,"3,99,1,+07620,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10234,5,10114,5",,,,,,,,,,,,,,,,"MET10001/01/08 08:51:52 METAR KLAX 011650Z 36007KT 10SM BKN250 16/M12 A3022 RMK AO2 SLP233 T01561117 (DMQ)",
"72295023174","2008-01-01T17:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","020,5,N,0046,5","07620,5,M,N","016093,5,N,5","+0178,5","-0122,5","10235,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+04877,5,99,9","07,5,+07620,5,99,9",,,"2,99,1,+04877,5,9","3,99,1,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0178,1","999,N,+0133,1",,,,,,,,,,,"10237,5,10118,5","1,9,010,9,+999,9",,,,,,,,,,,,,,,"MET12501/01/08 10:01:54 METAR KLAX 011750Z 02009KT 10SM SCT160 BKN250 18/M12 A3023 RMK AO2 SLP235 T01781122 10178 20133 51010 (DMQ)",
"72295023174","2008-01-01T18:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","020,1,N,0046,1","99999,9,9,N","016000,1,N,1","+0178,1","-0122,1","10235,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0178,1","240,N,+0133,1",,,,,,,,,,,"99999,9,99999,9","1,1,010,1,+999,9",,,,,,,,,,,,,,,"SYN092AAXX  01184 72295 32966 60209 10178 21122 30181 40235 51010 91750 333 10178 20133 555 90118;","Q01 101813APOSP "
"72295023174","2008-01-01T18:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","360,5,N,0041,5","07620,5,M,N","016093,5,N,5","+0194,5","-0122,5","10227,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+04877,5,99,9","07,5,+07620,5,99,9",,,"2,99,1,+04877,5,9","3,99,1,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10230,5,10111,5",,,,,,,,,,,,,,,,"MET10701/01/08 10:51:53 METAR KLAX 011850Z 36008KT 10SM SCT160 BKN250 19/M12 A3021 RMK AO2 SLP227 T01941122 (DMQ)",
"72295023174","2008-01-01T19:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","360,5,N,0036,5","04877,5,M,N","016093,5,N,5","+0211,5","-0122,5","10214,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04877,5,99,9","07,5,+07620,5,99,9",,,"3,99,1,+04877,5,9","3,99,1,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10217,5,10097,5",,,,,,,,,,,,,,,,"MET10701/01/08 11:51:52 METAR KLAX 011950Z 36007KT 10SM BKN160 BKN250 21/M12 A3017 RMK AO2 SLP214 T02111122 (DMQ)",
"72295023174","2008-01-01T20:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","360,5,N,0026,5","04877,5,M,N","016093,5,N,5","+0211,5","-0111,5","10202,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04877,5,99,9","07,5,+07620,5,99,9",,,"3,99,1,+04877,5,9","3,99,1,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10203,5,10084,5","8,9,031,9,+999,9",,,,,,,,,,,,,,,"MET11301/01/08 12:51:53 METAR KLAX 012050Z 36005KT 10SM BKN160 BKN250 21/M11 A3013 RMK AO2 SLP202 T02111111 58031 (DMQ)",
"72295023174","2008-01-01T21:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","340,5,N,0036,5","04877,5,M,N","016093,5,N,5","+0217,5","-0106,5","10196,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04877,5,99,9","07,5,+07620,5,99,9",,,"3,99,1,+04877,5,9","3,99,1,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10196,5,10077,5",,,,,,,,,,,,,,,,"MET10701/01/08 13:51:58 METAR KLAX 012150Z 34007KT 10SM BKN160 BKN250 22/M11 A3011 RMK AO2 SLP196 T02171106 (DMQ)",
"72295023174","2008-01-01T22:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","350,5,N,0031,5","05486,5,M,N","016093,5,N,5","+0211,5","-0106,5","10196,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+05486,5,99,9","07,5,+06096,5,99,9",,,"3,99,1,+05486,5,9","3,99,1,+06096,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10196,5,10077,5",,,,,,,,,,,,,,,,"MET10701/01/08 14:51:53 METAR KLAX 012250Z 35006KT 10SM BKN180 BKN200 21/M11 A3011 RMK AO2 SLP196 T02111106 (DMQ)",
"72295023174","2008-01-01T23:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","350,5,N,0036,5","04572,5,M,N","016093,5,N,5","+0206,5","-0117,5","10194,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04572,5,99,9","07,5,+06096,5,99,9",,,"3,99,1,+04572,5,9","3,99,1,+06096,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0222,1","999,N,+0178,1",,,,,,,,,,,"10196,5,10077,5","6,9,009,9,+999,9",,,,,,,,,,,,,,,"MET12501/01/08 15:51:53 METAR KLAX 012350Z 35007KT 10SM BKN150 BKN200 21/M12 A3011 RMK AO2 SLP194 T02061117 10222 20178 56009 (BLB)",
"72295023174","2008-01-02T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","350,1,N,0036,1","99999,9,9,N","016000,1,N,1","+0206,1","-0117,1","10194,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0222,1","180,N,+0139,1",,,,,,,,,,,"99999,9,99999,9","6,1,009,1,+999,9",,,,,,,,,,,,,,,"SYN092AAXX  02004 72295 32966 63507 10206 21117 30140 40194 56009 92350 333 10222 20139 555 90200;","Q01 101403APOSP "
"72295023174","2008-01-02T00:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","350,5,N,0036,5","04572,5,M,N","016093,5,N,5","+0194,5","-0117,5","10195,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04572,5,99,9","07,5,+06096,5,99,9",,,"3,99,1,+04572,5,9","3,99,1,+06096,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10196,5,10077,5",,,,,,,,,,,,,,,,"MET10701/01/08 16:51:57 METAR KLAX 020050Z 35007KT 10SM BKN150 BKN200 19/M12 A3011 RMK AO2 SLP195 T01941117 (BLB)",
"72295023174","2008-01-02T01:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","360,5,N,0041,5","04572,5,M,N","016093,5,N,5","+0178,5","-0122,5","10197,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04572,5,99,9","07,5,+06096,5,99,9",,,"3,99,1,+04572,5,9","3,99,1,+06096,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10196,5,10077,5",,,,,,,,,,,,,,,,"MET10701/01/08 17:51:52 METAR KLAX 020150Z 36008KT 10SM BKN150 BKN200 18/M12 A3011 RMK AO2 SLP197 T01781122 (BLB)",
