"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AG1","AJ1","AT1","AT2","AT3","AT4","AT5","ED1","GA1","GA2","GA3","GA4","GD1","GD2","GD3","GF1","GK1","GP1","GQ1","GR1","KA1","KA2","KB1","KB2","KB3","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MW1","MW2","MW3","MW4","OC1","OE1","OE2","OE3","REM","EQD"
"72295023174","1998-01-01T06:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","080,5,N,0015,5","04572,5,M,N","016000,5,N,1","+0172,5","+0133,5","10172,5","01,0000,9,5","06,0000,9,1",,,,,"0,000",,,,,,,,"02,1,+03000,1,99,9","08,1,+04500,1,99,9",,,"2,99,5,+03048,5,9","4,99,5,+04572,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,"0060,0000,01,000,0000,01,000,0000,01,000",,"0060,0000,9,0000,9",,,,,,,,,"10173,5,10134,1",,,,,,,,,,,,,"MET043NEW AO2 SLP172 T01720133 10183 20167 58000;","Q01+000082APCTENQ02+000002APC3  Q03+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T06:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,V,0015,5","22000,5,M,N","014400,5,N,1","+0167,5","+0122,5","10170,5","01,0000,9,5",,,,,,"0,999",,,,,,,,"02,1,+03000,1,99,9",,,,"2,99,5,+03048,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10173,5,10134,1",,,,,,,,,,,,,"MET025NEW AO2 SLP170 T01670122;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T07:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,01,000,0000,01,000,0000,01,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T07:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","100,5,N,0021,5","07620,5,M,N","012800,5,N,1","+0150,5","+0117,5","10164,5","01,0000,9,5",,,,,,"0,999",,,,,,,,"02,1,+03000,1,99,9","07,1,+07500,1,99,9",,,"2,99,5,+03048,5,9","3,99,5,+07620,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"999,M,+0222,1","999,N,+0128,1",,,,,,,"10166,5,10127,1",,,,,,,,,,,,,"MET032NEW AO2 SLP164 T01500117 4022201","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOD  ","KLAX ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0000,9,6",,,,,,,"0000,9,5,999999,9,9",,,,,,,,,,,,,,,,,,,"240,M,+0222,5","240,N,+0128,5",,,,,,,,,"10125,9,99999,4",,,,,,,,"1,24,00805,260,1404,5","2,24,00715,260,1358,5","3,24,00192,999,9999,5","SOD56624 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0.0  24 HR MAX TEMP (F): 7224 HR MAX TEMP TIME (LST):1326 24 HR MIN TEMP (F): 5524 HR MIN TEMP TIME (LST):0619 AVERAGE STATION PRESSURE:29.90  PEAK WIND SPEED (MPH): 18 PEAK WIND DIR (DEG):260 PEAK WIND TIME (LST):1404  FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):260 FASTEST 2MIN TIME (LST):1358 AVERAGE WIND SPEED (MPH): 4.3 24 HR AVG TEMP (F):64 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","R01  0.007AAP092"
"72295023174","1998-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOM  ","KLAX ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"00876,9,6","00384,9,1818,9999,9999,6","00,5,00,5,99,9,01,6",,,,,,,,,,,,,,,,,,,,,,,"744,N,+0861,5","744,M,+1906,5","744,A,+1383,5","744,H,0246,7","744,C,0002,6","00,5,00,5,00,5,00,5",,,,"10125,4,10176,4","10325,120020,5,10030,999999,5",,,,,,,,,"SOM441PCP MTOT: 3.45 DEPNRM: -.96 PCP GT 24HRS: 1.51 DATE(S):18 DAYS W/PCP >=.01: 0 DAYS W/PCP >=.10: 0 DAYS W/PCP >=1.00:  SN GT DP ON GRND:0 DATE(S):0  AVG DLY MIN: 47.5 AVG DLY MAX: 66.3 AVG MLY TMP: 56.9 DAYS MAX <=32:  DAYS MAX >=70: 0 DAYS MAX >=90: 0 DAYS MIN <=32: 0 DAYS MIN  <=0: 0 AVG STP:29.90  AVG SLP:30.05  LWST SLP:29.62 DATE/TIME: 61554 HGST SLP:30.49 DATE/TIME:120020 HDD MTH TOT: 246 DEP NORM: -12 CDD MTH TOT:   2 DEP NORM:  -5","R01  3.457ABP070R02  1.517ADP081R03     17AE4109R04   2467KDH015R05     27KDC058"
"72295023174","1998-01-01T08:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,01,000,0000,01,000,0000,01,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T08:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","22000,5,M,N","011200,5,N,1","+0144,5","+0111,5","10163,5","01,0000,9,5",,,,,,"0,000",,,,,,,,"02,1,+03000,1,99,9","02,1,+07500,1,99,9",,,"1,99,5,+03048,5,9","2,99,5,+07620,5,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10166,5,10127,1","6,1,008,1,+999,9",,,,,,,,,,,,"MET031NEW AO2 SLP163 T01440111 56008;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T09:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T09:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","090,5,N,0026,5","22000,5,M,N","008000,5,N,1","+0128,5","+0111,5","10163,5","01,0000,9,5",,,,,,"0,999",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10166,5,10127,1",,,,,"10,1","45,5",,,,,,,"MET025NEW AO2 SLP163 T01280111;","Q01+999990APOSP N01 00070JPWTH 0"
"72295023174","1998-01-01T10:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T10:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","08534,5,M,N","008000,5,N,1","+0133,5","+0106,5","10161,5","01,0000,9,5",,,,,,"0,999",,,,,,,,"07,1,+08400,1,99,9",,,,"3,99,5,+08534,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10163,5,10124,1",,,,,"05,5",,,,,,,,"MET025NEW AO2 SLP161 T01330106;","Q01+999990APOSP N01 00081JPWTH 0"
"72295023174","1998-01-01T11:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T12:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","040,5,N,0015,5","22000,5,M,N","008000,5,N,1","+0122,5","+0100,5","10158,5","01,0000,9,5","06,0000,9,1",,,,,"0,000",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,"10159,5,10120,1","8,1,007,1,+999,9",,,,"10,1","45,5",,,,,,,"MET055NEW AO2 SLP158 CITY MIN 57 T01220100 10172 20122 58007;","N01 00070JPWTH 0"
"72295023174","1998-01-01T12:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","090,5,N,0021,5","22000,5,M,N","008000,5,N,1","+0122,5","+0094,5","10157,5","01,0000,9,5",,,,,,"0,999",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10159,5,10121,1",,,,,"05,5",,,,,,,,"MET025NEW AO2 SLP157 T01220094;","Q01+999990APOSP N01 00081JPWTH 0"
"72295023174","1998-01-01T13:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T13:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","110,5,N,0021,5","22000,5,M,N","011200,5,N,1","+0122,5","+0083,5","10155,5","01,0000,9,5",,,,,,"0,999",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10156,5,10117,1",,,,,,,,,,,,,"MET025NEW AO2 SLP155 T01220083;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T14:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T14:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","080,5,N,0021,5","22000,5,M,N","011200,5,N,1","+0122,5","+0072,5","10154,5","01,0000,9,5",,,,,,"0,000",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10156,5,10117,1","8,1,004,1,+999,9",,,,,,,,,,,,"MET031NEW AO2 SLP154 T01220072 58004;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T15:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T15:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","080,5,N,0021,5","22000,5,M,N","016000,5,N,1","+0133,5","+0067,5","10154,5","01,0000,9,5",,,,,,"0,999",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10156,5,10117,1",,,,,,,,,,,,,"MET025NEW AO2 SLP154 T01330067;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T16:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0042,02,008,0242,02,015,0021,02,008","0060,0850,9,1220,9","0060,0121,9,1403,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T16:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","090,5,N,0036,5","22000,5,M,N","016000,5,N,1","+0161,5","+0067,5","10158,5","01,0000,9,5",,,,,,"0,999",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10159,5,10121,1",,,,,,,,,,,,,"MET025NEW AO2 SLP158 T01610067;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T17:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0204,02,008,0542,02,015,0065,02,008","0060,0753,9,1316,9","0060,0360,9,1415,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T18:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","110,5,N,0026,5","22000,5,M,N","016000,5,N,1","+0183,5","+0067,5","10162,5","01,0000,9,5","06,0000,9,1",,,,,"0,000",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"0060,0353,02,008,0649,02,015,0097,02,008","0060,0669,9,1432,9","0060,0555,9,1415,9",,,,,,,,,"10163,5,10124,1","3,1,010,1,+999,9",,,,,,,,,,,,"MET043NEW AO2 SLP162 T01830067 10183 20111 53010;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T18:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","100,5,N,0021,5","22000,5,M,N","016000,5,N,1","+0206,5","+0067,5","10155,5","01,0000,9,5",,,,,,"0,999",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10156,5,10117,1",,,,,,,,,,,,,"MET025NEW AO2 SLP155 T02060067;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T19:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0477,02,008,0742,02,015,0112,02,008","0060,0607,9,1570,9","0060,0693,9,1415,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T19:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,V,0026,5","22000,5,M,N","012800,5,N,1","+0222,5","+0067,5","10143,5","01,0000,9,5",,,,,,"0,999",,,,,,,,,,,,"0,99,5,+99999,9,9",,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10146,5,10107,1",,,,,,,,,,,,,"MET025NEW AO2 SLP143 T02220067;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T20:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0539,02,008,0766,02,015,0125,02,008","0060,0574,9,1726,9","0060,0762,9,1415,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T20:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","250,5,N,0041,5","22000,5,M,N","009600,5,N,1","+0206,5","+0117,5","10138,5","01,0000,9,5",,,,,,"0,000",,,,,,,,"02,1,+07500,1,99,9",,,,"2,99,5,+07620,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10139,5,10100,1","8,1,024,1,+999,9",,,,"05,5",,,,,,,,"MET031NEW AO2 SLP138 T02060117 58024;","Q01+999990APOSP N01 00081JPWTH 0"
"72295023174","1998-01-01T21:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0555,02,008,0783,02,015,0133,02,008","0060,0575,9,1889,9","0060,0759,9,1415,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T21:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","250,5,N,0057,5","22000,5,M,N","008000,5,N,1","+0189,5","+0144,5","10134,5","01,0000,9,5",,,,,,"0,999",,,,,,,,"02,1,+07500,1,99,9",,,,"2,99,5,+07620,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10135,5,10097,1",,,,,"05,5",,,,,,,,"MET025NEW AO2 SLP134 T01890144;","Q01+999990APOSP N01 00081JPWTH 0"
"72295023174","1998-01-01T22:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0478,02,008,0737,02,015,0121,02,008","0060,0611,9,2044,9","0060,0683,9,1415,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T22:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","250,5,N,0036,5","07620,5,M,N","011200,5,N,1","+0178,5","+0150,5","10135,5","01,0000,9,5",,,,,,"0,999",,,,,,,,"07,1,+07500,1,99,9",,,,"3,99,5,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10135,5,10097,1",,,,,,,,,,,,,"MET025NEW AO2 SLP135 T01780150;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T23:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0368,02,008,0536,02,015,0162,02,008","0060,0675,9,2179,9","0060,0540,9,1415,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-02T00:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","240,5,N,0031,5","07620,5,M,N","014400,5,N,1","+0178,5","+0128,5","10132,5","01,0000,9,5","06,0000,9,1",,,,,"0,000",,,,,,,,"07,1,+07500,1,99,9",,,,"3,99,5,+07620,5,9",,,,,"0060,0172,02,008,0151,02,015,0136,02,008","0060,0761,9,2293,9","0060,0340,9,1415,9",,,,,,,,,"10132,5,10093,1","6,1,007,1,+999,9",,,,,,,,,,,,"MET055NEW AO2 SLP132 CITY MAX 75 T01780128 10250 20178 56007;","Q01+000062SCOTCVQ02+000000PRSWM2N01 00000JPWTH 0"
