"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GA5","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2009-01-01T07:47:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","100,5,N,0015,5","00030,5,W,N","000201,A,N,A","+0080,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,A",,,"30,6",,,,,,"25,R,0244,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"45,1",,,,,,,,,,,"MET09612/31/08 23:47:00 SPECI KLAX 010747Z 10003KT 1/8SM R25R/0800V2200FT FG VV001 08/08 A3006 RMK AO2","R01 1/8SM7VIS018R02    FG7AWW018R03SEERMK7MVW018R04    FG7MWW018"
"72295023174","2009-01-01T07:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","110,5,N,0015,5","00030,5,W,N","000201,5,N,5","+0080,A","+0080,A","10178,1","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0213,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"45,1",,,,,,,,,,,"MET09212/31/08 23:53:00 METAR KLAX 010753Z 11003KT 1/8SM R25R/0700V1000FT FG VV001 08/08 A3006 RMK","R01    087TMP046R02    087DPT046"
"72295023174","2009-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOD  ","KLAX ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0000,9,5",,,,,,,,,,,,,,,,,,"AU,01,FG  ,5","AU,13,BR  ,5","AU,08,HZ  ,5",,,,,,,,"01,6,24,6","02,6,24,6","08,6,24,6",,,,,,,,,,,,"240,M,+0128,5","240,N,+0083,5",,,,,,,,,"024,W,+0094,D,4","024,D,+0089,D,4",,,"10068,4,10186,4","10068,4,10068,4",,,,,,,,"1,24,00715,270,1323,5","2,24,00536,270,1523,5","3,24,00197,999,9999,5","024,X,100,D,4","024,N,080,D,4","024,M,093,D,4","SOD77524 HR PRECIPITATION (IN):0.00  WEATHER(CODE):1,2,8  24 HR MAX TEMP (F):55 24 HR MAX TEMP TIME (LST):1300 24 HR MIN TEMP (F):47 24 HR MIN TEMP TIME (LST):2359 AVERAGE STATION PRESSURE:29.730 MINIMUM SEA LEVEL PRESSURE:29.73 TIME OF OCCURRENCE:1721 PEAK WIND SPEED (MPH):16  PEAK WIND DIR (DEG):270 PEAK WIND TIME (LST):1323  FASTEST 2MIN SPEED (MPH):12 FASTEST 2MIN DIR (DEG):270 FASTEST 2MIN TIME (LST):1523 AVERAGE WIND SPEED (MPH):4.4  24 HR AVG TEMP (F):51 DEPART FROM NORMAL: -6  HEATING DEGREE DAYS:14  COOLING DEGREE DAYS:0   LATEST DAY MAX TEMP (0700-1900 LST):55  LATEST NIGHT MIN TEMP(1900-0800 LST):48 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00","R01    087TMP046R02    087DPT046R03 1,2,87AXW090R04 1,2,87AXW090R05 1,2,87AXW090R06     N7GJS072R07     N7GKS075"
"72295023174","2009-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOM  ","KLAX ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"00638,9,A","00480,9,1515,9999,9999,5","06,5,04,5,01,5,01,5","005,0033,9,150550,5","010,0043,9,150551,5","015,0056,9,150516,5","020,0066,9,150521,5","030,0084,9,150522,5","045,0127,9,150514,5","060,0157,9,150522,5","080,0198,9,150550,5","100,0241,9,150602,5","120,0264,9,150606,5","150,0307,9,150606,5","180,0335,9,150606,5",,,,,,,,,,,,,,,,,,,,,,,,,,,"744,N,+0894,5","744,M,+1644,5","744,A,+1272,5","N,9,+0044,279999,5","M,9,+0250,059999,5","744,H,0306,5","744,C,0000,5","00,5,00,5,00,5,00,5",,,,,,,"10059,4,10179,4","10288,271039,U,10051,171353,U",,,,,,,,,,,,"SOM808PCP MTOT:2.51 DEPNRM:+1.4 PCP GT 24HRS:1.89 DATE(S):15 DAYS W/PCP >=.01:6  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.13  15/0550 MIN:10 0.17  15/0551 MIN:15 0.22  15/0516 MIN:20 0.26  15/0521 MIN:30 0.33  15/0522 MIN:45 0.50  15/0514 MIN:60 0.62  15/0522 MIN:80 0.78  15/0550 MIN:100 0.95  15/0602 MIN:120 1.04  15/0606 MIN:150 1.21  15/0606 MIN:180 1.32  15/0606 AVG DLY MIN:48.1  AVG DLY MAX:61.6  AVG MLY TMP:54.9  DEP NORM:-2.7  MIN TMP:40 DATE(S):27 MAX TMP:77  DATE(S):05 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.705 LWST SLP:29.67 DATE/TIME:171342 HGST SLP:30.38 DATE/TIME:271039 HDD MTH TOT:306 DEP NORM:+72 SEASON(JUL 1-JUN 30):403 DEP NORM:+24 CDD MTH TOT:0 DEP NORM:-4 SEASON(JAN 1-DEC 31):883 DEP NORM:+204","R01  2.517ABP070"
"72295023174","2009-01-01T08:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00030,5,W,N","000201,A,N,A","+0083,5","+0078,5","10176,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,A",,,"30,6",,,,,,"25,R,0213,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10176,5,10057,5","7,9,005,9,+999,9",,,,,"45,1",,,,,,,,,,,"MET11901/01/09 00:53:00 METAR KLAX 010853Z 00000KT 1/8SM R25R/0700V0800FT FG VV001 08/08 A3005 RMK AO2 SLP176 T00830078 57005","R01 1/8SM7VIS018R02    FG7AWW018R03SEERMK7MVW018R04    FG7MWW018"
"72295023174","2009-01-01T09:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00030,5,W,N","000000,A,N,A","+0083,5","+0083,5","10178,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,A",,,"30,6",,,,,,"25,R,0244,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"45,1",,,,,,,,,,,"MET11401/01/09 01:53:00 METAR KLAX 010953Z 00000KT 1/16SM R25R/0800V1000FT FG VV001 08/08 A3006 RMK AO2 SLP178 T00830083","R011/16SM7VIS018R02    FG7AWW018R03SEERMK7MVW018R04    FG7MWW018"
"72295023174","2009-01-01T10:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00030,5,W,N","000000,A,N,A","+0083,5","+0078,5","10177,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,A",,,"30,6",,,,,,"25,R,0183,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"45,1",,,,,,,,,,,"MET11401/01/09 02:53:00 METAR KLAX 011053Z 00000KT 1/16SM R25R/0600V0700FT FG VV001 08/08 A3006 RMK AO2 SLP177 T00830078","R011/16SM7VIS018R02    FG7AWW018R03SEERMK7MVW018R04    FG7MWW018"
"72295023174","2009-01-01T11:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","290,5,N,0015,5","00030,5,W,N","000000,A,N,A","+0089,5","+0083,5","10177,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,A",,,"30,6",,,,,,"25,R,0183,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9","999,M,+0100,1","999,N,+0083,1",,,,,,,,,,,"10179,5,10061,5","0,9,001,9,+999,9",,,,,"45,1",,,,,,,,,,,"MET13201/01/09 03:53:00 METAR KLAX 011153Z 29003KT 1/16SM R25R/0600V0800FT FG VV001 09/08 A3006 RMK AO2 SLP177 T00890083 10100 20083 50001","R011/16SM7VIS018R02    FG7AWW018R03SEERMK7MVW018R04    FG7MWW018"
"72295023174","2009-01-01T12:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","290,1,N,0015,1","00015,1,9,N","000100,1,N,1","+0089,1","+0083,1","10177,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09,1,+99999,9,99,9",,,,,,,,,"09,99,1,09,1,99,9,99999,9,99,9,99,9","120,N,+0083,1","240,M,+0128,1",,,,,,,,,,,"99999,9,99999,9","0,1,001,1,+999,9",,,,,"41,1",,,,,,,,,,,"SYN098AAXX  01124 72295 31001 92903 10089 20083 30124 40177 50001 741// 91153 333 10128 20083 555 90112;","Q01 101243APOSP "
"72295023174","2009-01-01T12:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00030,5,W,N","000000,A,N,A","+0089,5","+0083,5","10177,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,A",,,"30,6",,,,,,"25,R,0366,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"45,1",,,,,,,,,,,"MET11401/01/09 04:53:00 METAR KLAX 011253Z 00000KT 1/16SM R25R/1200V1400FT FG VV001 09/08 A3006 RMK AO2 SLP177 T00890083","R011/16SM7VIS018R02    FG7AWW018R03SEERMK7MVW018R04    FG7MWW018"
"72295023174","2009-01-01T13:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00030,5,W,N","000000,A,N,A","+0083,5","+0083,5","10180,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,A",,,"30,6",,,,,,"25,R,0488,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5",,,,,,"45,1",,,,,,,,,,,"MET11401/01/09 05:53:00 METAR KLAX 011353Z 00000KT 1/16SM R25R/1600V3000FT FG VV001 08/08 A3007 RMK AO2 SLP180 T00830083","R011/16SM7VIS018R02    FG7AWW018R03SEERMK7MVW018R04    FG7MWW018"
"72295023174","2009-01-01T14:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","010,5,N,0021,5","00030,5,W,N","000201,A,N,A","+0083,5","+0078,5","10181,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,A",,,"30,6",,,,,,"25,R,1829,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5","3,9,004,9,+999,9",,,,,"45,1",,,,,,,,,,,"MET12001/01/09 06:53:00 METAR KLAX 011453Z 01004KT 1/8SM R25R/6000VP6000FT FG VV001 08/08 A3007 RMK AO2 SLP181 T00830078 53004","R01 1/8SM7VIS018R02    FG7AWW018R03SEERMK7MVW018R04    FG7MWW018"
"72295023174","2009-01-01T15:36:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","040,5,N,0021,5","00030,5,W,N","000402,5,N,5","+0080,5","+0070,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0305,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5",,,,,,"45,1",,,,,,,,,,,"MET09601/01/09 07:36:00 SPECI KLAX 011536Z 04004KT 1/4SM R25R/1000V1600FT FG VV001 08/07 A3007 RMK AO2",
"72295023174","2009-01-01T15:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,V,0015,5","00030,5,W,N","000402,5,N,5","+0072,5","+0067,5","10184,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0305,9","09,5,+00030,5,99,9",,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10186,5,10067,5",,,,,,"45,1",,,,,,,,,,,"MET11301/01/09 07:53:00 METAR KLAX 011553Z VRB03KT 1/4SM R25R/1000V2200FT FG VV001 07/07 A3008 RMK AO2 SLP184 T00720067",
"72295023174","2009-01-01T16:41:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","120,5,N,0015,5","00030,5,M,N","000805,5,N,5","+0070,5","+0070,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0610,9","07,5,+00030,5,99,9",,,,,"3,99,1,+00030,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10186,5,10067,5",,,,,,"44,1",,,,,,,,,,,"MET09701/01/09 08:41:00 SPECI KLAX 011641Z 12003KT 1/2SM R25R/2000V4000FT FG BKN001 07/07 A3008 RMK AO2",
"72295023174","2009-01-01T16:51:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","00030,5,M,N","001609,5,N,5","+0070,5","+0070,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"07,5,+00030,5,99,9",,,,,"3,99,1,+00030,5,9",,,,,,,,,,,,,,,,,"10186,5,10067,5",,,,,,,,,,,,,,,,,"MET12101/01/09 08:52:21 SPECI KLAX 011651Z 00000KT 1SM R25R/4500VP6000FT BR BKN001 07/07 A3008 RMK AO2 VIS 1/4 RWY24 FIBI (DMQ)",
"72295023174","2009-01-01T16:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00030,5,M,N","001609,5,N,5","+0072,5","+0072,5","10188,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"07,5,+00030,5,99,9",,,,,"3,99,1,+00030,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10186,5,10067,5",,,,,,"10,1",,,,,,,,,,,"MET10501/01/09 08:53:00 METAR KLAX 011653Z 00000KT 1SM BR BKN001 07/07 A3008 RMK AO2 SLP188 BKN V SCT T00720072",
"72295023174","2009-01-01T17:03:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","003219,5,V,5","+0080,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"04,5,+00030,5,99,9",,,,,"2,99,1,+00030,5,9",,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10190,5,10071,5",,,,,,"10,1",,,,,,,,,,,"MET10401/01/09 09:03:00 SPECI KLAX 011703Z 00000KT 2SM BR SCT001 08/08 A3009 RMK AO2 VIS 1 1/2V2 1/2 SCT V BKN",
"72295023174","2009-01-01T17:36:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","004828,5,N,5","+0090,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"02,5,+00030,5,99,9",,,,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,"10,1",,,,,,,,,,,"MET07801/01/09 09:36:00 SPECI KLAX 011736Z 00000KT 3SM BR FEW001 09/08 A3010 RMK AO2",
"72295023174","2009-01-01T17:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","004828,5,N,5","+0100,5","+0083,5","10191,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"02,5,+00030,5,99,9",,,,,"1,99,1,+00030,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0100,1","999,N,+0072,1",,,,,,,,,,,"10190,5,10071,5","3,9,010,9,+999,9",,,,,"10,1",,,,,,,,,,,"MET11301/01/09 09:53:00 METAR KLAX 011753Z 00000KT 3SM BR FEW001 10/08 A3009 RMK AO2 SLP191 T01000083 10100 20072 53010",
