"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","ED1","GA1","GD1","GD2","GD3","GD4","GF1","GJ1","GK1","GP1","GQ1","GR1","IA1","KA1","KA2","KB1","KB2","KB3","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","MW4","MW5","OC1","OE1","OE2","OE3","SA1","UA1","UG1","REM","EQD"
"72295023174","2002-01-01T06:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","140,5,N,0015,5","00305,5,M,N","008000,5,N,1","+0139,5","+0122,5","10195,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"4,99,5,+00305,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10196,5,99999,9",,,,,,"10,1","45,5",,,,,,,,,,,"MET072KLAX 010650Z 14003KT 5SM BR OVC010 14/12 A3011 RMK AO2 SLP195 T01390122;","Q01    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T07:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T07:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","00366,5,M,N","006400,5,N,1","+0139,5","+0122,5","10197,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"4,99,5,+00366,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,"999,M,+0150,1","999,N,+0128,1",,,,,,,"10200,5,99999,9",,,,,,"10,1","45,5",,,,,,,,,,,"MET082KLAX 010750Z 00000KT 4SM BR OVC012 14/12 A3012 RMK AO2 SLP197 T01390122 401500128;","Q01    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOD  ","KLAX ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0000,9,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000,5","000,5",,,,,"240,M,+0150,5","240,N,+0128,5",,,,,,,,,"10058,9,99999,4",,,,,,,,,,"1,24,00760,250,1340,5","2,24,00581,250,1139,5","3,24,00201,999,9999,5",,,,"SOD60524 HR PRECIPITATION (IN): 0.00 TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 5924 HR MAX TEMP TIME (LST):1427 24 HR MIN TEMP (F): 5524 HR MIN TEMP TIME (LST):0437 AVERAGE STATION PRESSURE:29.70  PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):1340  FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG):250 FASTEST 2MIN TIME (LST):1139 AVERAGE WIND SPEED (MPH): 4.5 24 HR AVG TEMP (F):57 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","R01  0.007AAP092"
"72295023174","2002-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOM  ","KLAX ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"00330,9,6","00094,9,2020,9999,9999,6","07,6,06,6,99,9,00,5","005,0020,9,202050,5","010,0028,9,202356,5","015,0038,9,210001,5","020,0043,9,210001,5","030,0061,9,210016,5","045,0071,9,210026,5","060,0074,9,210031,5","080,0074,9,210031,5","100,0074,9,210031,5","120,0074,9,210031,5","150,0074,9,210031,5","180,0074,9,210031,5",,,,,,,,,,,,,,,,,,,,"744,N,+0872,5","744,M,+1750,5","744,A,+1311,5","744,H,0286,7","744,C,0002,6","00,5,00,5,00,5,00,5",,,,"10058,4,10190,4","10268,221030,5,10061,141625,5",,,,,,,,,,,,,,"SOM808PCP MTOT: 1.30 DEPNRM: 0.20 PCP GT 24HRS: 0.37 DATE(S):202+ DAYS W/PCP >=.01: 7 DAYS W/PCP >=.10: 6 DAYS W/PCP >=1.00:  MSDP AMTS W/DATE-TIME TAGS:MIN:5  .08  20/2050 MIN:10  .11  20/2356 MIN:15  .15  21/0001 MIN:20  .17  21/0001 MIN:30  .24  21/0016 MIN:45  .28  21/0026 MIN:60  .29  21/0031 MIN:80  .29  21/0031 MIN:100  .29  21/0031 MIN:120  .29  21/0031 MIN:150  .29  21/0031 MIN:180  .29  21/0031 SN GT DP ON GRND:0 DATE(S):0  AVG DLY MIN: 47.7 AVG DLY MAX: 63.5 AVG MLY TMP: 55.6 DAYS MAX <=32:  DAYS MAX >=70: 0 DAYS MAX >=90: 0 DAYS MIN <=32: 0 DAYS MIN  <=0: 0 AVG STP:29.70  AVG SLP:30.09  LWST SLP:29.71 DATE/TIME:141625 HGST SLP:30.32 DATE/TIME:221030 HDD MTH TOT: 286 DEP NORM:  52 SEASON(JUL 1-JUN 30):  434 DEP NORM:4  55 CDD MTH TOT:   2 DEP NORM:  -2 SEASON(JAN 1-DEC 31):  444 DEP NORM:-238","R01  1.307ABP070R02  0.377ADP081R03     77AE1100R04      7AE2103R05   2867KDH015R06     27KDC058"
"72295023174","2002-01-01T08:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T08:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","00396,5,M,N","006400,5,N,1","+0139,5","+0117,5","10194,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"4,99,5,+00396,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10196,5,99999,9","0,1,000,1,+999,9",,,,,"10,1","45,5",,,,,,,,,,,"MET078KLAX 010850Z 00000KT 4SM BR OVC013 14/12 A3011 RMK AO2 SLP194 T01390117 50000;","Q01    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T09:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T09:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","350,5,N,0015,5","04206,5,M,N","006400,5,N,1","+0139,5","+0117,5","10195,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00396,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10196,5,99999,9",,,,,,"10,1","45,5",,,,,,,,,,,"MET072KLAX 010950Z 35003KT 4SM BR BKN013 14/12 A3011 RMK AO2 SLP195 T01390117;","Q01    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T10:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T10:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","04206,5,M,N","006400,5,N,1","+0139,5","+0117,5","10190,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00396,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10193,5,99999,9",,,,,,"10,1","45,5",,,,,,,,,,,"MET072KLAX 011050Z 00000KT 4SM BR BKN013 14/12 A3010 RMK AO2 SLP190 T01390117;","Q01    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T11:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T12:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","05730,5,M,N","004800,5,9,9","+0133,5","+0117,5","10184,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00549,5,9",,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,"10186,5,99999,9",,,,,,"45,5",,,,,,,,,,,,,"N01 00070JPWTH 0"
"72295023174","2002-01-01T12:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","05121,5,M,N","004800,5,N,1","+0128,5","+0117,5","10183,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00488,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10183,5,99999,9",,,,,,"10,1","45,5",,,,,,,,,,,"MET072KLAX 011250Z 00000KT 3SM BR BKN016 13/12 A3007 RMK AO2 SLP183 T01280117;","Q01+000003PRSWM1Q02    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T13:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T13:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","05121,5,M,N","004800,5,N,1","+0122,5","+0111,5","10182,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00488,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10183,5,99999,9",,,,,,"10,1","45,5",,,,,,,,,,,"MET072KLAX 011350Z 00000KT 3SM BR BKN016 12/11 A3007 RMK AO2 SLP182 T01220111;","Q01    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T14:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T14:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","050,5,N,0021,5","02286,1,M,N","004800,5,N,1","+0128,5","+0111,5","10188,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"2,99,5,+00488,5,9","3,99,5,+02286,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10190,5,99999,9","3,1,003,1,+999,9",,,,,"10,1","45,5",,,,,,,,,,,"MET085KLAX 011450Z 05004KT 3SM BR SCT016 BKN075 13/11 A3009 RMK AO2 SLP188 T01280111 53003;","Q01 999993SCOCIGQ02    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T15:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T15:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","02286,1,M,N","004800,5,N,1","+0128,5","+0111,5","10195,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00488,5,9","2,99,5,+01219,5,9","4,99,5,+02286,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10196,5,99999,9",,,,,,"10,1","45,5",,,,,,,,,,,"MET086KLAX 011550Z 00000KT 3SM BR FEW016 SCT040 OVC075 13/11 A3011 RMK AO2 SLP195 T01280111;","Q01 999993SCOCIGQ02    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T16:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0019,02,008,0000,02,015,0019,02,008","0060,0850,9,1220,9","0060,0121,9,1403,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T16:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","02286,1,M,N","004800,5,N,1","+0133,5","+0111,5","10203,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00488,5,9","2,99,5,+01219,5,9","4,99,5,+02286,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10203,5,99999,9",,,,,,"10,1","45,5",,,,,,,,,,,"MET086KLAX 011650Z 00000KT 3SM BR FEW016 SCT040 OVC075 13/11 A3013 RMK AO2 SLP203 T01330111;","Q01 999993SCOCIGQ02    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T17:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0100,02,008,0011,02,015,0097,02,008","0060,0753,9,1316,9","0060,0360,9,1415,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T17:50:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","999,9,V,0015,1","02100,1,9,N","004828,1,N,1","+0140,1","+0110,1","10207,1",,,,,,,,,,,,,,,,,,,,,,,,,"2,99,1,+00480,1,9","2,99,1,+01200,1,9","4,99,1,+02100,1,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,"999,M,+0139,1","999,N,+0117,1",,,,,,,"10210,1,99999,9","1,1,019,1,+999,9",,,,,"05,1",,,,,,,,,,,,"MET104KLAX 011750Z VRB03KT 3SM HZ FEW016 SCT040 OVC070 14/11 A3015 RMK AO2 SLP207 T01390111 10139 20117 51019;","Q01    003PRSWM1"
"72295023174","2002-01-01T18:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","999,9,V,0015,5","21580,5,M,N","004800,5,N,1","+0139,5","+0111,5","10207,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00488,5,9","2,99,5,+01219,5,9","4,99,5,+02134,5,9",,"08,99,1,99,9,99,9,00450,1,99,9,99,9",,,"0060,0177,02,008,0023,02,015,0167,02,008","0060,0669,9,1432,9","0060,0555,9,1415,9",,"120,M,+0144,1","240,N,+0117,1",,,,,,,"10210,5,10171,1","1,1,019,1,+999,9",,,,,"05,5",,,,,,,,,,,,"SYN098AAXX  01184 72295 31448 89903 10139 20111 30171 40207 51019 705// 91750 333 10144 20117 555 90118;","Q01  00002PRCP99Q02  00003PRCP99N01 00081JPWTH 0"
"72295023174","2002-01-01T18:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","280,5,N,0031,5","02438,1,M,N","004800,5,N,1","+0150,5","+0117,5","10202,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00488,5,9","2,99,5,+01524,5,9","3,99,5,+02438,5,9","3,99,1,+04500,1,9","07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10203,5,99999,9",,,,,,"05,5",,,,,,,,,,,,"MET093KLAX 011850Z 28006KT 3SM HZ FEW016 SCT050 BKN080 BKN150 15/12 A3013 RMK AO2 SLP202 T01500117;","Q01 999993SCOCIGQ02    003PRSWM1N01 00081JPWTH 0"
"72295023174","2002-01-01T19:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0344,02,008,0224,02,015,0234,02,008","0060,0607,9,1569,9","0060,0693,9,1415,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
