"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GA5","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2011-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOD  ","KLAX ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,M,+0139,5","240,N,+0039,5",,,,,,,,,"024,W,+0044,D,4","024,D,-0039,D,4",,,"10054,4,10173,4","10054,4,10054,4",,,,,,,,,"1,24,00939,330,0046,5","2,24,00581,270,1548,5","3,24,00215,999,9999,5","024,X,055,D,4","024,N,024,D,4","024,M,040,D,4","SOD75424 HR PRECIPITATION (IN):0.00  24 HR MAX TEMP (F):57 24 HR MAX TEMP TIME (LST):1339 24 HR MIN TEMP (F):39 24 HR MIN TEMP TIME (LST):0629 AVERAGE STATION PRESSURE:29.690 MINIMUM SEA LEVEL PRESSURE:29.69 TIME OF OCCURRENCE:0123 PEAK WIND SPEED (MPH):21  PEAK WIND DIR (DEG):330 PEAK WIND TIME (LST):0046  FASTEST 2MIN SPEED (MPH):13 FASTEST 2MIN DIR (DEG):270 FASTEST 2MIN TIME (LST):1548 AVERAGE WIND SPEED (MPH):4.8  24 HR AVG TEMP (F):48 DEPART FROM NORMAL: -9  HEATING DEGREE DAYS:17  COOLING DEGREE DAYS:0   LATEST DAY MAX TEMP (0700-1900 LST):57  LATEST NIGHT MIN TEMP(1900-0800 LST):39 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00","R01     N7GJS072R02     N7GKS075"
"72295023174","2011-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOM  ","KLAX ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"02241,9,U","00665,9,1819,9999,9999,U","12,U,09,U,06,U,04,U","005,0030,9,221451,5","010,0053,9,221455,5","015,0058,9,221457,5","020,0063,9,221837,5","030,0071,9,221516,5","045,0097,9,190308,5","060,0119,9,190308,5","080,0145,9,190320,5","100,0165,9,190323,5","120,0180,9,190327,5","150,0203,9,190327,5","180,0231,9,190327,5",,,,,,,,,,,,,,,,,,,,,,,,,,,"744,N,+1072,5","744,M,+1833,5","744,A,+1456,5","N,9,+0038,319999,5","M,9,+0283,129999,5","744,H,0215,5","744,C,0011,5","00,U,00,U,00,U,00,U",,,,,,,"10047,U,10166,U","10240,061100,5,10041,291704,5",,,,,,,,,,,,,"SOM812PCP MTOT:8.83 DEPNRM:+7.7 PCP GT 24HRS:2.62 DATE(S):18-19 DAYS W/PCP >=.01:10 DAYS W/PCP >=.10:7  DAYS W/ PCP >=.50:4 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.12  22/1451 MIN:10 0.21  22/1455 MIN:15 0.23  22/1457 MIN:20 0.25  22/1837 MIN:30 0.28  22/1516 MIN:45 0.38  19/0308 MIN:60 0.47  19/0308 MIN:80 0.57  19/0320 MIN:100 0.65  19/0323 MIN:120 0.71  19/0327 MIN:150 0.80  19/0327 MIN:180 0.91  19/0327 AVG DLY MIN:51.3  AVG DLY MAX:65.0  AVG MLY TMP:58.2  DEP NORM:0.6   MIN TMP:39 DATE(S):31 MAX TMP:83  DATE(S):12 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.675 LWST SLP:29.65 DATE/TIME:291704 HGST SLP:30.24 DATE/TIME:061100 HDD MTH TOT:215 DEP NORM:-19 SEASON(JUL 1-JUN 30):459 DEP NORM:+80 CDD MTH TOT:11 DEP NORM:+7 SEASON(JAN 1-DEC 31):348 DEP NORM:-331","R01  8.837ABP070R02  2.627ADP081R03    107AE1100R04     47AE2103R05     47AE3106R06     27AE4109"
"72295023174","2011-01-01T08:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","050,5,N,0031,5","04572,5,M,N","016093,5,N,5","+0094,5","-0017,5","10214,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+04572,5,99,9",,,,,"4,99,1,+04572,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10217,5,10097,5","1,9,006,9,+999,9",,,,,,,,,,,,,,,,,"MET10901/01/11 00:53:02 METAR KLAX 010853Z 05006KT 10SM OVC150 09/M02 A3017 RMK AO2 SLP214 T00941017 51006 RTX (GG)",
"72295023174","2011-01-01T09:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","050,5,N,0036,5","04572,5,M,N","016093,5,N,5","+0089,5","-0033,5","10218,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+03048,5,99,9","07,5,+04572,5,99,9",,,,"2,99,1,+03048,5,9","3,99,1,+04572,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10220,5,10101,5",,,,,,,,,,,,,,,,,,"MET10601/01/11 01:53:02 METAR KLAX 010953Z 05007KT 10SM SCT100 BKN150 09/M03 A3018 RMK AO2 SLP218 T00891033 (GG)",
"72295023174","2011-01-01T10:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","050,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0083,5","-0039,5","10222,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+03048,5,99,9","04,5,+04572,5,99,9",,,,"2,99,1,+03048,5,9","2,99,1,+04572,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10224,5,10104,5",,,,,,,,,,,,,,,,,,"MET10601/01/11 02:53:02 METAR KLAX 011053Z 05007KT 10SM SCT100 SCT150 08/M04 A3019 RMK AO2 SLP222 T00831039 (GG)",
"72295023174","2011-01-01T11:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","050,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0078,5","-0039,5","10218,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+03048,5,99,9",,,,,"2,99,1,+03048,5,9",,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0106,1","999,N,+0078,1",,,,,,,,,,,"10220,5,10101,5","0,9,003,9,+999,9",,,,,,,,,,,,,,,,,"MET11701/01/11 03:53:02 METAR KLAX 011153Z 05005KT 10SM SCT100 08/M04 A3018 RMK AO2 SLP218 T00781039 10106 20078 50003 (GG)",
"72295023174","2011-01-01T12:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","050,1,N,0026,1","22000,1,9,N","016000,1,N,1","+0078,1","-0039,1","10218,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","120,N,+0078,1","240,M,+0139,1",,,,,,,,,,,"99999,9,99999,9","0,1,003,1,+999,9",,,,,,,,,,,,,,,,,"SYN092AAXX  01124 72295 32966 40505 10078 21039 30164 40218 50003 91153 333 10139 20078 555 90112;","Q01 101643APOSP "
"72295023174","2011-01-01T12:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","050,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0078,5","-0050,5","10223,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+03048,5,99,9",,,,,"1,99,1,+03048,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10224,5,10104,5",,,,,,,,,,,,,,,,,,"MET10301/01/11 04:53:02 METAR KLAX 011253Z 05005KT 10SM FEW100 08/M05 A3019 RMK AO2 SLP223 T00781050 RTX (GG)",
"72295023174","2011-01-01T13:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","050,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0072,5","-0056,5","10229,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+03048,5,99,9",,,,,"1,99,1,+03048,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10230,5,10111,5",,,,,,,,,,,,,,,,,,"MET09901/01/11 05:53:02 METAR KLAX 011353Z 05005KT 10SM FEW100 07/M06 A3021 RMK AO2 SLP229 T00721056 (GG)",
"72295023174","2011-01-01T14:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","040,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0078,5","-0056,5","10234,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+03048,5,99,9",,,,,"1,99,1,+03048,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10234,5,10114,5","3,9,015,9,+999,9",,,,,,,,,,,,,,,,,"MET10501/01/11 06:53:02 METAR KLAX 011453Z 04006KT 10SM FEW100 08/M06 A3022 RMK AO2 SLP234 T00781056 53015 (GG)",
"72295023174","2011-01-01T15:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","050,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0078,5","-0044,5","10241,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+03048,5,99,9",,,,,"1,99,1,+03048,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10240,5,10121,5",,,,,,,,,,,,,,,,,,"MET10101/01/11 07:53:02 METAR KLAX 011553Z 05005KT 10SM FEW100 08/M04 A3024 RMK AO2 SLP241 T00781044 $ (JK)",
"72295023174","2011-01-01T16:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","070,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0100,5","-0044,5","10249,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01829,5,99,9",,,,,"1,99,1,+01829,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10251,5,10131,5",,,,,,,,,,,,,,,,,,"MET10301/01/11 08:53:02 METAR KLAX 011653Z 07004KT 10SM FEW060 10/M04 A3027 RMK AO2 SLP249 T01001044 RTX (JK)",
"72295023174","2011-01-01T17:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","060,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0111,5","-0056,5","10257,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01829,5,99,9",,,,,"1,99,1,+01829,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0111,1","999,N,+0067,1",,,,,,,,,,,"10257,5,10138,5","3,9,023,9,+999,9",,,,,,,,,,,,,,,,,"MET12301/01/11 09:53:02 METAR KLAX 011753Z 06006KT 10SM FEW060 11/M06 A3029 RMK AO2 SLP257 T01111056 10111 20067 53023 $ RTX (JK)",
"72295023174","2011-01-01T18:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","060,1,N,0031,1","22000,1,9,N","016000,1,N,1","+0111,1","-0056,1","10257,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,99,1,99,9,99,9,01750,1,99,9,99,9","120,M,+0111,1","240,N,+0067,1",,,,,,,,,,,"99999,9,99999,9","3,1,023,1,+999,9",,,,,,,,,,,,,,,,,"SYN092AAXX  01184 72295 32766 20606 10111 21056 30201 40257 53023 91753 333 10111 20067 555 90118;","Q01 102013APOSP "
"72295023174","2011-01-01T18:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,V,0026,5","22000,5,9,N","016093,5,N,5","+0128,5","-0061,5","10253,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01829,5,99,9","04,5,+03048,5,99,9",,,,"1,99,1,+01829,5,9","2,99,1,+03048,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10254,5,10134,5",,,,,,,,,,,,,,,,,,"MET10801/01/11 10:53:02 METAR KLAX 011853Z VRB05KT 10SM FEW060 SCT100 13/M06 A3028 RMK AO2 SLP253 T01281061 $ (JK)",
"72295023174","2011-01-01T19:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","110,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0133,5","-0061,5","10244,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01829,5,99,9","04,5,+03048,5,99,9",,,,"1,99,1,+01829,5,9","2,99,1,+03048,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10244,5,10124,5",,,,,,,,,,,,,,,,,,"MET11201/01/11 11:53:02 METAR KLAX 011953Z 11004KT 10SM FEW060 SCT100 13/M06 A3025 RMK AO2 SLP244 T01331061 $ RTX (JK)",
"72295023174","2011-01-01T20:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","070,5,N,0015,5","03048,5,M,N","016093,5,N,5","+0150,5","-0061,5","10235,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+01829,5,99,9","07,5,+03048,5,99,9",,,,"2,99,1,+01829,5,9","3,99,1,+03048,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10237,5,10118,5","8,9,021,9,+999,9",,,,,,,,,,,,,,,,,"MET11401/01/11 12:53:02 METAR KLAX 012053Z 07003KT 10SM SCT060 BKN100 15/M06 A3023 RMK AO2 SLP235 T01501061 58021 $ (JK)",
"72295023174","2011-01-01T21:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","03048,5,M,N","016093,5,N,5","+0150,5","-0061,5","10233,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+01829,5,99,9","07,5,+03048,5,99,9",,,,"2,99,1,+01829,5,9","3,99,1,+03048,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10234,5,10114,5",,,,,,,,,,,,,,,,,,"MET10801/01/11 13:53:02 METAR KLAX 012153Z 00000KT 10SM SCT060 BKN100 15/M06 A3022 RMK AO2 SLP233 T01501061 $ (JK)",
"72295023174","2011-01-01T22:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","250,5,N,0036,5","03048,5,M,N","016093,5,N,5","+0133,5","+0000,5","10233,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+01829,5,99,9","07,5,+03048,5,99,9",,,,"2,99,1,+01829,5,9","3,99,1,+03048,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10234,5,10114,5",,,,,,,,,,,,,,,,,,"MET10701/01/11 14:53:02 METAR KLAX 012253Z 25007KT 10SM SCT060 BKN100 13/00 A3022 RMK AO2 SLP233 T01330000 $ (JK)",
"72295023174","2011-01-01T23:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","260,5,N,0041,5","03048,5,M,N","016093,5,N,5","+0128,5","+0028,5","10232,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+01829,5,99,9","07,5,+03048,5,99,9","07,5,+04572,5,99,9",,,"2,99,1,+01829,5,9","3,99,1,+03048,5,9","3,99,1,+04572,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0156,1","999,N,+0111,1",,,,,,,,,,,"10230,5,10111,5","8,9,005,9,+999,9",,,,,,,,,,,,,,,,,"MET13201/01/11 15:53:02 METAR KLAX 012353Z 26008KT 10SM SCT060 BKN100 BKN150 13/03 A3021 RMK AO2 SLP232 T01280028 10156 20111 58005 $ (CF)",
"72295023174","2011-01-02T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","260,1,N,0041,1","99999,9,9,N","016000,1,N,1","+0128,1","+0028,1","10232,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,01750,1,99,9,99,9","120,M,+0156,1","180,N,+0078,1",,,,,,,,,,,"99999,9,99999,9","8,1,005,1,+999,9",,,,,,,,,,,,,,,,,"SYN092AAXX  02004 72295 32766 62608 10128 20028 30174 40232 58005 92353 333 10156 20078 555 90200;","Q01 101743APOSP "
"72295023174","2011-01-02T00:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","250,5,N,0026,5","03658,5,M,N","016093,5,N,5","+0122,5","+0028,5","10231,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01829,5,99,9","07,5,+03658,5,99,9","07,5,+04572,5,99,9",,,"1,99,1,+01829,5,9","3,99,1,+03658,5,9","3,99,1,+04572,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10230,5,10111,5",,,,,,,,,,,,,,,,,,"MET10901/01/11 16:53:01 METAR KLAX 020053Z 25005KT 10SM FEW060 BKN120 BKN150 12/03 A3021 RMK AO2 SLP231 T01220028 $",
