"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AU4","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GA5","GA6","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","REM","EQD"
"72295023174","2005-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOM  ","KLAX ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"01648,9,6","01199,9,2829,9999,9999,6","07,5,05,5,03,5,01,5","005,0071,9,281636,5","010,0109,9,281730,5","015,0135,9,281644,5","020,0155,9,280705,5","030,0211,9,280712,5","045,0244,9,280717,5","060,0287,9,280714,5","080,0345,9,280719,5","100,0358,9,280719,5","120,0381,9,280719,5","150,0399,9,280719,5","180,0432,9,280719,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"744,N,+0906,5","744,M,+1906,5","744,A,+1406,5","N,9,+0050,010699,5","M,9,+0277,119999,5","744,H,0238,5","744,C,0005,5","00,5,00,5,00,5,00,5",,,,"10063,4,10183,4","10268,241009,5,10030,290023,5",,,,,,,,,,"SOM749PCP MTOT:6.49 DEPNRM:4.70 PCP GT 24HRS:4.72 DATE(S):28-29 DAYS W/PCP >=.01:07 DAYS W/PCP >=.10:05 DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5  0.28 28/1636 MIN:10  0.43 28/1730 MIN:15  0.53 28/1644 MIN:20  0.61 28/0705 MIN:30  0.83 28/0712 MIN:45  0.96 28/0717 MIN:60  1.13 28/0714 MIN:80  1.36 28/0719 MIN:100  1.41 28/0719 MIN:120  1.50 28/0719 MIN:150  1.57 28/0719 MIN:180  1.70 28/0719 AVG DLY MIN:48.3  AVG DLY MAX:66.3  AVG MLY TMP:57.3  DEP NORM:-0.3  MIN TMP:41 DATE(S):01 06 MAX TMP:82  DATE(S):11 DAYS MAX <=32:0 DAYS MAX >=90:00 DAYS MIN <=32:00 DAYS MIN  <=0:00 AVG STP:29.715 AVG SLP:30.07  LWST SLP:29.62 DATE/TIME:290023 HGST SLP:30.32 DATE/TIME:241009 HDD MTH TOT:238 DEP NORM:4 CDD MTH TOT:5 DEP NORM:1","R01  6.497ABP070R02  4.727ADP081"
"72295023174","2005-01-01T08:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","050,5,N,0026,5","22000,5,9,N","009656,5,N,5","+0100,5","+0089,5","10168,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,,"10,5",,,,,,,"02,5,+00701,5,99,9","04,5,+01067,5,99,9","04,5,+01463,5,99,9",,,,"1,99,1,+00701,5,9","2,99,1,+01067,5,9","2,99,1,+01463,5,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10169,5,10051,5","0,9,000,9,+999,9",,,,,"10,1",,,,,,,,"MET11501/01/05 00:50:00 METAR KLAX 010850Z 05005KT 6SM BR FEW023 SCT035 SCT048 10/09 A3003 RMK AO2 SLP168 T01000089 50000","Q01+000003PRSWM1Q02    003PRSWM1"
"72295023174","2005-01-01T09:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","100,5,N,0015,5","01402,5,M,N","009656,5,N,5","+0094,5","+0089,5","10171,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,,"10,5",,,,,,,"02,5,+00701,5,99,9","04,5,+01006,5,99,9","07,5,+01402,5,99,9",,,,"1,99,1,+00701,5,9","2,99,1,+01006,5,9","3,99,1,+01402,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10173,5,10054,5",,,,,,"10,1",,,,,,,,"MET10901/01/05 01:50:00 METAR KLAX 010950Z 10003KT 6SM BR FEW023 SCT033 BKN046 09/09 A3004 RMK AO2 SLP171 T00940089","Q01+000003PRSWM1Q02    003PRSWM1"
"72295023174","2005-01-01T10:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","050,5,N,0015,5","22000,5,9,N","009656,5,N,5","+0089,5","+0083,5","10172,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,,"10,5",,,,,,,"02,5,+00640,5,99,9","02,5,+01067,5,99,9","04,5,+01524,5,99,9","04,5,+05100,5,99,9",,,"1,99,1,+00640,5,9","1,99,1,+01067,5,9","2,99,1,+01524,5,9","2,99,1,+05100,1,9","04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10173,5,10054,5",,,,,,"10,1",,,,,,,,"MET10901/01/05 02:50:00 METAR KLAX 011050Z 05003KT 6SM BR FEW021 FEW035 SCT050 09/08 A3004 RMK AO2 SLP172 T00890083","Q01+000003PRSWM1Q02    003PRSWM1"
"72295023174","2005-01-01T11:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","110,5,N,0021,5","01524,5,M,N","009656,5,N,5","+0089,5","+0083,5","10172,5","01,0000,9,5","24,0191,9,1",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,,"10,5",,,,,,,"02,5,+00640,5,99,9","04,5,+01006,5,99,9","07,5,+01524,5,99,9",,,,"1,99,1,+00640,5,9","2,99,1,+01006,5,9","3,99,1,+01524,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0122,1","999,N,+0083,1",,,,,,,,,"10173,5,10054,5","0,9,004,9,+999,9",,,,,"10,1",,,,,,,,"MET13301/01/05 03:50:00 METAR KLAX 011150Z 11004KT 6SM BR FEW021 SCT033 BKN050 09/08 A3004 RMK AO2 SLP172 70075 T00890083 10122 20083 50004","Q01+000003PRSWM1Q02    003PRSWM1"
"72295023174","2005-01-01T12:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","110,1,N,0021,1","99999,9,9,N","009000,1,N,1","+0089,1","+0083,1","10172,1","06,0000,9,1","24,0191,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9","120,N,+0083,1","240,M,+0144,1",,,,,,,,,"99999,9,99999,9","0,1,004,1,+999,9",,,,,"10,1",,,,,,,,"SYN104AAXX  01124 72295 31559 61104 10089 20083 30134 40172 50004 710// 91150 333 10144 20083 70191 555 90112;","Q01  00002PRCP06Q02 101343APOSP "
"72295023174","2005-01-01T12:32:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","090,5,N,0021,5","00823,5,M,N","009656,5,N,5","+0090,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,,"10,5",,,,,,,"07,5,+00823,5,99,9","07,5,+01158,5,99,9","07,5,+01524,5,99,9",,,,"3,99,1,+00823,5,9","3,99,1,+01158,5,9","3,99,1,+01524,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10173,5,10054,5","9,9,999,9,+000,1",,,,,"10,1",,,,,,,,"MET08801/01/05 04:32:00 SPECI KLAX 011232Z 09004KT 6SM BR BKN027 BKN038 BKN050 09/08 A3004 RMK","Q01+000003PRSWM1Q02    003PRSWM1"
"72295023174","2005-01-01T12:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","080,5,N,0021,5","00823,5,M,N","011265,5,N,5","+0089,5","+0078,5","10172,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00549,5,99,9","07,5,+00823,5,99,9","07,5,+01402,5,99,9",,,,"1,99,1,+00549,5,9","3,99,1,+00823,5,9","3,99,1,+01402,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10173,5,10054,5","9,9,999,9,+000,1",,,,,"00,1",,,,,,,,"MET10601/01/05 04:50:00 METAR KLAX 011250Z 08004KT 7SM FEW018 BKN027 BKN046 09/08 A3004 RMK AO2 SLP172 T00890078","Q01+000000PRSWM2"
"72295023174","2005-01-01T13:21:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","080,5,N,0021,5","01524,5,M,N","011265,5,N,5","+0080,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00549,5,99,9","04,5,+00823,5,99,9","07,5,+01524,5,99,9",,,,"1,99,1,+00549,5,9","2,99,1,+00823,5,9","3,99,1,+01524,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10176,5,10057,5",,,,,,"00,1",,,,,,,,"MET08501/01/05 05:21:00 SPECI KLAX 011321Z 08004KT 7SM FEW018 SCT027 BKN050 08/08 A3005 RMK","Q01+000000PRSWM2"
"72295023174","2005-01-01T13:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","060,5,N,0021,5","22000,5,9,N","011265,5,N,5","+0078,5","+0067,5","10179,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00427,5,99,9","02,5,+00823,5,99,9","04,5,+01524,5,99,9",,,,"1,99,1,+00427,5,9","1,99,1,+00823,5,9","2,99,1,+01524,5,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10179,5,10061,5",,,,,,"00,1",,,,,,,,"MET10601/01/05 05:50:00 METAR KLAX 011350Z 06004KT 7SM FEW014 FEW027 SCT050 08/07 A3006 RMK AO2 SLP179 T00780067","Q01+000000PRSWM2"
"72295023174","2005-01-01T14:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","999,9,V,0021,5","22000,5,9,N","016093,5,N,5","+0083,5","+0067,5","10184,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00427,5,99,9","04,5,+01524,5,99,9","04,5,+06096,5,99,9",,,,"1,99,1,+00427,5,9","2,99,1,+01524,5,9","2,99,1,+06096,5,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10186,5,10067,5","3,9,011,9,+999,9",,,,,"00,1",,,,,,,,"MET11301/01/05 06:50:00 METAR KLAX 011450Z VRB04KT 10SM FEW014 SCT050 SCT200 08/07 A3008 RMK AO2 SLP184 T00830067 53011","Q01+000000PRSWM2"
"72295023174","2005-01-01T15:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","090,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0083,5","+0061,5","10191,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01524,5,99,9","02,5,+02134,5,99,9","04,5,+06096,5,99,9",,,,"1,99,1,+01524,5,9","1,99,1,+02134,5,9","2,99,1,+06096,5,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10193,5,10074,5",,,,,,"00,1",,,,,,,,"MET10701/01/05 07:50:00 METAR KLAX 011550Z 09005KT 10SM FEW050 FEW070 SCT200 08/06 A3010 RMK AO2 SLP191 T00830061","Q01+000000PRSWM2"
"72295023174","2005-01-01T16:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","090,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0100,5","+0078,5","10199,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01524,5,99,9","02,5,+02743,5,99,9","04,5,+05486,5,99,9","04,5,+07500,5,99,9",,,"1,99,1,+01524,5,9","1,99,1,+02743,5,9","2,99,1,+05486,5,9","2,99,1,+07500,1,9","04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10200,5,10081,5",,,,,,"00,1",,,,,,,,"MET10701/01/05 08:50:00 METAR KLAX 011650Z 09007KT 10SM FEW050 FEW090 SCT180 10/08 A3012 RMK AO2 SLP199 T01000078","Q01+000000PRSWM2"
"72295023174","2005-01-01T17:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","090,5,N,0031,5","22000,5,C,N","016093,5,N,5","+0117,5","+0083,5","10203,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01524,5,99,9","02,5,+02134,5,99,9","04,5,+03658,5,99,9","04,5,+05400,5,99,9","07,5,+07500,5,99,9",,"1,99,1,+01524,5,9","1,99,1,+02134,5,9","2,99,1,+03658,5,9","2,99,1,+05400,1,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0117,1","999,N,+0072,1",,,,,,,,,"10203,5,10084,5","1,9,020,9,+999,9",,,,,"00,1",,,,,,,,"MET12501/01/05 09:50:00 METAR KLAX 011750Z 09006KT 10SM FEW050 FEW070 SCT120 12/08 A3013 RMK AO2 SLP203 T01170083 10117 20072 51020","Q01+000000PRSWM2"
"72295023174","2005-01-01T18:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","090,1,N,0031,1","99999,9,9,N","016000,1,N,1","+0117,1","+0083,1","10203,1","06,0000,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,01750,1,99,9,99,9","120,M,+0122,1","240,N,+0072,1",,,,,,,,,"99999,9,99999,9","1,1,020,1,+999,9",,,,,,,,,,,,,"SYN092AAXX  01184 72295 32766 60906 10117 20083 30164 40203 51020 91750 333 10122 20072 555 90118;","Q01  00002PRCP06Q02 101643APOSP "
"72295023174","2005-01-01T18:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","999,9,V,0031,5","07500,5,C,N","016093,5,N,5","+0133,5","+0094,5","10197,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01067,5,99,9","04,5,+02134,5,99,9","04,5,+05182,5,99,9","07,5,+07500,5,99,9",,,"1,99,1,+01067,5,9","2,99,1,+02134,5,9","2,99,1,+05182,5,9","3,99,1,+07500,1,9","07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10200,5,10081,5",,,,,,"00,1",,,,,,,,"MET10701/01/05 10:50:00 METAR KLAX 011850Z VRB06KT 10SM FEW035 SCT070 SCT170 13/09 A3012 RMK AO2 SLP197 T01330094","Q01+000000PRSWM2P01 220003SCOCIG"
"72295023174","2005-01-01T19:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","180,5,N,0021,5","00945,5,M,N","016093,5,N,5","+0128,5","+0078,5","10191,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+00945,5,99,9","07,5,+01280,5,99,9","07,5,+02134,5,99,9","07,5,+05100,5,99,9",,,"3,99,1,+00945,5,9","3,99,1,+01280,5,9","3,99,1,+02134,5,9","3,99,1,+05100,1,9","07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10193,5,10074,5",,,,,,"00,1",,,,,,,,"MET10701/01/05 11:50:00 METAR KLAX 011950Z 18004KT 10SM BKN031 BKN042 BKN070 13/08 A3010 RMK AO2 SLP191 T01280078","Q01+000000PRSWM2"
