"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GA5","GA6","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2006-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOD  ","KLAX ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0170,9,5",,,,,,,,,,,,,,,,,,"AU,16,RA  ,5","AU,01,FG  ,5","AU,13,BR  ,5",,,,,,,,"01,6,24,6","08,6,24,6",,,,,,,,,,,,,,"240,M,+0156,5","240,N,+0111,5",,,,,,,,,,,,,,"10029,4,10122,4",,,,,,,,,"1,24,01386,170,1459,5","2,24,01073,200,1506,5","3,24,00344,999,9999,5",,,,"SOD77724 HR PRECIPITATION (IN): 0.67 WEATHER(CODE):1,8  24 HR MAX TEMP (F):60 24 HR MAX TEMP TIME (LST):1734 24 HR MIN TEMP (F):52 24 HR MIN TEMP TIME (LST):0253 AVERAGE STATION PRESSURE(D):29.616 MINIMUM SEA LEVEL PRESSURE:29.89 TIME OF OCCURRENCE:1625 PEAK WIND SPEED (MPH):31  PEAK WIND DIR (DEG):170 PEAK WIND TIME (LST):1459  FASTEST 2MIN SPEED (MPH):24 FASTEST 2MIN DIR (DEG):200 FASTEST 2MIN TIME (LST):1506 AVERAGE WIND SPEED (MPH): 7.7 24 HR AVG TEMP (F):56 DEPART FROM NORMAL:  -1 HEATING DEGREE DAYS:  9 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST): 60 LATEST NIGHT MIN TEMP(1900-0800 LST):52 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00T     0.01 0.03 0.07 0.04 0.36 0.15 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00","R01   1,87AXW093R02   1,87AXW093"
"72295023174","2006-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOM  ","KLAX ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"00244,9,5","00170,9,3131,9999,9999,5","05,5,02,5,01,5,00,5","005,0013,9,311337,5","010,0023,9,311337,5","015,0030,9,311339,5","020,0041,9,311339,5","030,0056,9,311349,5","045,0079,9,311349,5","060,0094,9,311400,5","080,0109,9,311418,5","100,0127,9,311437,5","120,0132,9,311446,5","150,0135,9,311510,5","180,0142,9,311510,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"744,N,+1056,5","744,M,+1944,5","744,A,+1500,5","N,9,+0055,049999,5","M,9,+0261,219999,5","744,H,0183,5","744,C,0004,5","00,5,00,5,00,5,00,5",,,,,,,"10075,4,10193,4","10274,191001,5,10122,311625,5",,,,,,,,,,,,,"SOM808PCP MTOT:0.96 DEPNRM:-0.2 PCP GT 24HRS:0.67 DATE(S):31 DAYS W/PCP >=.01:5  DAYS W/PCP >=.10:2  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.05  31/1337 MIN:10 0.09  31/1337 MIN:15 0.12  31/1339 MIN:20 0.16  31/1339 MIN:30 0.22  31/1349 MIN:45 0.31  31/1349 MIN:60 0.37  31/1400 MIN:80 0.43  31/1418 MIN:100 0.50  31/1437 MIN:120 0.52  31/1446 MIN:150 0.53  31/1510 MIN:180 0.56  31/1510 AVG DLY MIN:51.0  AVG DLY MAX:67.0  AVG MLY TMP:59.0  DEP NORM:1.4   MIN TMP:42 DATE(S):04 MAX TMP:79  DATE(S):21 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.750 LWST SLP:29.89 DATE/TIME:311625 HGST SLP:30.34 DATE/TIME:191001 HDD MTH TOT:183 DEP NORM:-51 SEASON(JUL 1-JUN 30):310 DEP NORM:-69 CDD MTH TOT:4 DEP NORM: 0 SEASON(JAN 1-DEC 31):522 DEP NORM:-157",
"72295023174","2006-01-01T08:18:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","00061,5,M,N","001207,5,N,5","+0130,5","+0130,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"25,L,0427,9","07,5,+00061,5,99,9",,,,,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10163,5,10044,5",,,,,,,"10,1",,,,,,,,,,,"MET10201/01/06 00:19:55 SPECI KLAX 010818Z 00000KT 3/4SM R25L/1400V1800FT BR BKN002 13/13 A3001 RMK AO2 (GG)","Q01+000000PRSWM1"
"72295023174","2006-01-01T08:31:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","00061,5,M,N","001207,5,N,5","+0130,5","+0130,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"25,L,0427,9","07,5,+00061,5,99,9",,,,,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10169,5,10051,5",,,,,,,"10,1",,,,,,,,,,,"MET10301/01/06 00:32:51 SPECI KLAX 010831Z 00000KT 3/4SM R25L/1400VP6000FT BR BKN002 13/13 A3003 RMK AO2 (GG)","Q01+000000PRSWM1"
"72295023174","2006-01-01T08:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","030,5,N,0026,5","00061,5,M,N","001207,5,N,5","+0128,5","+0128,5","10164,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"25,L,0488,9","07,5,+00061,5,99,9",,,,,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10166,5,10047,5","3,9,008,9,+999,9",,,,,,"10,1",,,,,,,,,,,"MET15001/01/06 00:51:54 METAR KLAX 010850Z 03005KT 3/4SM R25L/1600VP6000FT BR BKN002 13/13 A3002 RMK AO2 SLP164 FG BANK N AND E VIS S 1 T01280128 53008 (GG)","Q01+000000PRSWM1"
"72295023174","2006-01-01T09:12:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","050,5,N,0026,5","00030,5,W,N","000402,5,N,5","+0130,5","+0130,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,L,0549,9","09,5,+00030,5,99,9",,,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10166,5,10047,5",,,,,,,"45,1",,,,,,,,,,,"MET10101/01/06 01:13:52 SPECI KLAX 010912Z 05005KT 1/4SM R25L/1800V2600FT FG VV001 13/13 A3002 RMK AO2 (GG)","Q01+000000PRSWM1"
"72295023174","2006-01-01T09:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","090,5,N,0020,5","00030,5,W,N","000402,5,N,5","+0133,5","+0133,5","10161,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,L,0792,9","09,5,+00030,5,99,9",,,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10163,5,10044,5",,,,,,,"45,1",,,,,,,,,,,"MET11901/01/06 01:51:58 METAR KLAX 010950Z 09004KT 1/4SM R25L/2600VP6000FT FG VV001 13/13 A3001 RMK AO2 SLP161 T01330133 (GG)","Q01+000000PRSWM1"
"72295023174","2006-01-01T10:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00030,5,W,N","000402,5,N,5","+0133,5","+0133,5","10164,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,L,1676,9","09,5,+00030,5,99,9",,,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10166,5,10047,5",,,,,,,"45,1",,,,,,,,,,,"MET11901/01/06 02:51:53 METAR KLAX 011050Z 00000KT 1/4SM R25L/5500VP6000FT FG VV001 13/13 A3002 RMK AO2 SLP164 T01330133 (GG)","Q01+000000PRSWM1"
"72295023174","2006-01-01T11:44:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","080,5,N,0026,5","00366,5,M,N","000805,5,N,5","+0120,5","+0120,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,L,1524,9","02,5,+00091,5,99,9","07,5,+00366,5,99,9",,,,,"1,99,1,+00091,5,9","3,99,1,+00366,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10166,5,10047,5",,,,,,,"44,1",,,,,,,,,,,"MET11001/01/06 03:45:51 SPECI KLAX 011144Z 08005KT 1/2SM R25L/5000VP6000FT FG FEW003 BKN012 12/12 A3002 RMK AO2 (GG)","Q01+000000PRSWM1"
"72295023174","2006-01-01T11:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","080,5,N,0020,5","00366,5,M,N","002012,5,N,5","+0128,5","+0128,5","10164,5","01,0000,9,5","24,0170,9,1",,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"07,5,+00366,5,99,9",,,,,,"3,99,1,+00366,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0150,1","999,N,+0122,1",,,,,,,,,,,"10166,5,10047,5","3,9,000,9,+999,9",,,,,,"10,1",,,,,,,,,,,"MET12801/01/06 03:51:52 METAR KLAX 011150Z 08004KT 1 1/4SM BR BKN012 13/13 A3002 RMK AO2 SLP164 70067 T01280128 10150 20122 53000 (GG)","Q01+000032APCTEN"
"72295023174","2006-01-01T12:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","080,1,N,0021,1","99999,9,9,N","002000,1,N,1","+0128,1","+0128,1","10164,1","24,0170,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,00450,1,99,9,99,9","120,N,+0122,1","240,M,+0156,1",,,,,,,,,,,"99999,9,99999,9",,,,,,,"10,1",,,,,,,,,,,"SYN104AAXX  01124 72295 31420 60804 10128 20128 30127 40164 53000 710// 91150 333 10156 20122 70170 555 90112;","Q01+000032APCTENQ02 101273APOSP "
